year,to_country_id,to_country,performer,song,place_contest,sf_num,running_final,running_sf,place_final,points_final,place_sf,points_sf,points_tele_final,points_jury_final,points_tele_sf,points_jury_sf,composers,lyricists,lyrics,youtube_url,manually_replaced_url
2004,ua,Ukraine,Ruslana,Wild Dances,1,0,10,11,1,280,2,256,,,,,Ruslana,Fayney;Jamie Maher;Oleksandr Ksenofontov;Ruslana;Sherena Dugani,"Just maybe I'm crazy\nThe world spins round and round and round\nShee ree kee dai, shee ree kee dam dei\nShee ree kee dai, shee kee ree a dam da\n\nI want you to want me\nAs I dance round and round and round\nShee ree kee dai, shee ree kee dam dei\nShee ree kee dai, shee kee ree a dam da\n\nForever and ever\nGo, go, go, wild dancers\n\nDai na, dai na, wanna be loved\nDai na, gonna take my wild chances\nDai na, dai na, freedom above\nDai na, dai na dei, I'm wild dancin'\n\nHey\n\nNapevno, daremno\nBula ya nadto chemna\nHey, shee kee dai, shee ree kee dam dei\nShee ree kee dai, shee kee ree a dam da\n\nDlya tebe, dlya sebe\nZastelyu tsile nebo\nHey... dam dei\nShee ree kee dai, shee kee ree a dam da\n\nBez zhalyu zapalyu\nGo, go, go, wild dancers\n\nDai na, dai na, wanna be loved\nDai na, gonna take my wild chances\nDai na, dai na, freedom above\nDai na, dai na dei, I'm wild dancin'\n\nHey... ho...\n\nDance forever, come and be mine\nDance together, till the end of time\nDance together\nGo, go, go, wild dancers\n\nDai na, dai na, wanna be loved\nDai na, gonna take my wild chances\nDai na, dai na, freedom above\nDai na, dai na dei, I'm wild dancin'\n\nHey, hey",https://youtube.com/watch?v=10XR67NQcAc,
2004,cs,Serbia & Montenegro,Željko Joksimović,Lane Moje,2,0,5,20,2,263,1,263,,,,,Željko Joksimović,Leontina Vukomanović,"Kad' na te pomislim\nBojim se da te opet zavolim\nU modre usne zarijem zube\nDa pravu bol zaboravim\n\nLane moje, ovih dana\nViše i ne tugujem\nPitam samo da l' si sama\nLjude koje ne čujem\n\nLane moje, noćas kreni\nNije važno bilo s kim\nNađi nekog nalik meni\nDa te barem ne volim\n\n(Nek' neko drugi usne ti ljubi)\n(Da tebe lakše prebolim)\n\nLane moje, ovih dana (Lane moje)\nViše i ne tugujem (Lane moje)\nPitam samo da l' si sama\nLjude koje ne čujem\n\nLane moje, noćas kreni (Lane moje)\nNije važno bilo s' kim\nNađi nekog nalik meni\nDa te barem ne volim\nDa te više ne volim",https://youtube.com/watch?v=z7OvpjplJ_8,
2004,gr,Greece,Sakis Rouvas,Shake It,3,0,16,10,3,252,3,238,,,,,Nikos Terzis,Nektarios Tirakis,"Everytime you wanna play\nTurn me on, all the way\nCome to me and take the ride\nSkin on skin, it's pure delight\nGivin' me the passion, you're burning my heart\nGonna rock you till you drop\nBaby, you're the reason I'm feeling so hot\nWant you now, I just can't stop\n\nI would trade my life\nFor a night with you\nDriven by desire\nMake that move on me\nIt's time for you to see\nThat my world's on fire\n\nShake, shake, shake, shake, shake it, mi amor\nCrazy for love\nGive me some more\nShake, shake, shake, shake, shake it, mi amor\nCrazy for love\nGive me some more\nShake, shake, shake, shake, shake it, mi amor\nCrazy for love\nGive me some more\nForever\nYeah, yeah, yeah, yeah\n\nShake, shake, shake, shake, shake it, mi amor\nCrazy for love\nGive me some more\nShake, shake, shake, shake, shake it, mi amor\nCrazy for love\nGive me some more\nShake, shake, shake, shake, shake it, mi amor\nCrazy for love\nGive me some more\nForever\nYeah, yeah, yeah, yeah\n\nEveryday I can't resist\nNeed the taste of your lips\nDarlin', it's your body that's driving me nuts\nLet me in, I've got to touch\n\nI would trade my life\nFor a night with you\nDriven by desire\nMake that move on me\nIt's time for you to see\nThat my world's on fire\n\nShake, shake, shake, shake, shake it, mi amor\nCrazy for love\nGive me some more\nShake, shake, shake, shake, shake it, mi amor\nCrazy for love\nGive me some more\nShake, shake, shake, shake, shake it, mi amor\nCrazy for love\nGive me some more\nForever\nYeah, yeah, yeah, yeah\n\nShake, shake, shake, shake, shake it, mi amor\nCrazy for love\nGive me some more\nShake, shake, shake, shake, shake it, mi amor\nCrazy for love\nGive me some more\nShake, shake, shake, shake, shake it, mi amor\nCrazy for love\nGive me some more\nForever\nYeah, yeah, yeah, yeah\n\nShake, shake, shake, shake, shake it, mi amor\nCrazy for love\nGive me some more\nShake, shake, shake, shake, shake it, mi amor\nCrazy for love\nGive me some more\nShake, shake, shake, shake, shake it, mi amor\nCrazy for love\nGive me some more\nForever\nYeah, yeah, yeah, yeah\n\nShake, shake, shake",https://youtube.com/watch?v=asZwDUTEXls,
2004,tr,Turkey,Athena,For Real,4,,22,,4,195,,,,,,,Gökhan Özoğuz;Hakan Özoğuz,,"Oh... come on up, come on up, come on up now\nWhat you doin', what you waitin' for?\nOh... it's time to push it, break it, rush it\nDon't ever let life pass you by\n\nAll I know is you don't want to be part of the crowd\nRealise yourself\n\nYou say it but don't feel it\nWhat you sayin' has no meanin'\nDon't hide your soul\nFor real, I'm for real\nCome on up\n\nI wanna bring you up\nI wanna bring you up\nI wanna bring you up\nI wanna bring you up\nDo you want? Do you want?\nUp, I wanna bring you up, up\nI wanna bring you up\n\nPlease, please, no questions, no answers\nNo more running around in circles\nAre you in? Are you out?\nDo you know your way out?\nLet me take you up in the sky\n\nFor real, I'm for real\nCome on up\n\nI wanna bring you up\nI wanna bring you up\nI wanna bring you up\nI wanna bring you up\nDo you want? Do you want?\nUp, I wanna bring you up, up\nI wanna bring you up\n\nI wanna bring you up\nI wanna bring you up\nI wanna bring you up\nI wanna bring you up\nDo you want? Do you want?\nUp, I wanna bring you up, up\nI wanna bring you...\n\nCome on, come on\nRisin' up now, risin' up now",https://youtube.com/watch?v=pipamUl14A4,
2004,cy,Cyprus,Lisa Andreas,Stronger Every Minute,5,0,21,14,5,170,5,149,,,,,Mike Connaris,,"No matter where I am\nI'm always thinking of you\nIt may be hard, but I need you to understand\nThat I don't often say what I feel\nBut now this is straight from my heart\n\nMy love grows stronger every minute\nAnd it won't ever die\nI want you to stay with me\nNot just this day, but for all my life\n\nNow, when I look into your eyes\nI can tell there's something wrong\nYou're holding back the tears\nCouldn't bare to lose you now\nSo I will make my feelings clear\n\nMy love grows stronger every minute\nAnd it won't ever die\nYou must believe I'll always be there\nFor you, all my life\n\nOh... please stay\nMmm...\n\nMy love grows stronger every minute\nAnd it won't ever die\nI want you to stay with me\nNot just this day, but for all my life\n\nOh... please stay",https://youtube.com/watch?v=Dq4RNHax5ow,
2004,se,Sweden,Lena Philipsson,It Hurts,5,,24,,5,170,,,,,,,Thomas 'Orup' Eriksson,,"Nobody but me, could know the way I feel\n\nI'm standing on the rooftop\nAnd I'm crying out your name\nI'm looking for an answer\nAnd for somebody to blame\n'Cause even though it's over\nYou linger on my mind, oh\n\nHurts, oh it hurts, really hurts\nIn the middle of the night\nIn the light of the day\nYou know that it hurts\nOh it hurts, really hurts\nAnd I wish I could be stronger\nNo longer afraid\nNobody but me, could know the way I feel\nOh it hurts, oh it hurts\n\nI'm trying to forget love\nThe pain I feel inside\nI'm clinging to my pillow\nAnd the tears I cannot hide\nI wish it could be over\nSo I can start anew, oh\n\nHurts, oh it hurts, really hurts\nIn the middle of the night\nIn the light of the day\nYou know that it hurts\nOh it hurts, really hurts\nAnd I wish I could be stronger\nNo longer afraid\nNobody but me, could know the way I feel\nOh it hurts, oh\n\nNot easy to remember\nAnd even harder to forget\nWhenever I surrender (whenever I surrender)\nOh, you're always on my mind...\n\n(Hurts, oh it hurts, really hurts)\nIn the middle of the night\nIn the light of the day\nYou know that it hurts\nOh it hurts, really hurts\nAnd I wish I could be stronger\nNo longer afraid\nNobody but me, could know the way I feel\nOh it hurts, ooh it hurts\nI wish I could be stronger\nOh, but it hurts",https://youtube.com/watch?v=na2qDYmm7LM,
2004,al,Albania,Anjeza Shahini,The Image Of You,7,0,9,13,7,106,4,167,,,,,Edmond Zhulali,Xhuli Teilor,"How strange the feeling in your soul\nWhen love invades your very being\nAnother me or so I'm told\nAnd life takes on another meaning\n\nDay after day, I go through the motions\nStumbling my way, life is a blur\nSlave of my love, of my emotions\nYou're in my eyes, you're in my heart\n\nOne kiss, one heart in time\nA kiss, the moment is mine\nI close my eyes, I breathe\nI'm queen of the world of make-believe\n\nYou make me feel a little crazy\nYou make me see your tears are true\nYou make my days and nights so hazy\nYou make me feel the image of you\n\nYou make me feel a little crazy\nYou make me see your tears are true\nYou make my days and nights so hazy\nYou make me feel the image of you\n\n(You make me feel a little crazy)\n(You make me see...)\n\nOne kiss, one heart in time\nA kiss, the moment is mine\nI close my eyes, I breathe\nI'm queen of the world of make-believe\n\nYou make me feel a little crazy\nYou make me see your tears are true\nYou make my days and nights so hazy\nYou make me feel the image of you\n\nYou make me feel a little crazy\nYou make me see your tears are true\nYou make my days and nights so hazy\nYou make me feel the image of you\n\n(You make me feel) a little crazy\n(You make me see) your tears are true\n(You make me feel) image of you\n\nI know it's just a dream\nI feel I love this life\nI know it's just a dream\nI feel I love this life",https://youtube.com/watch?v=NrVrCJFCejs,
2004,de,Germany,Max,Can't Wait Until Tonight,8,,8,,8,93,,,,,,,Stefan Raab,,"Don't wanna talk about the way I am\nI only try to make you understand\nThat my affection is so really true\nMy heart has started thumpin' since I met you\n\nJust can't wait until tonight, baby\nTill I have you by my side, baby\nJust can't wait until tonight, baby\nFor being with you\n\nDo do do do do...\nJust been waiting\nDo do do do do...\nJust been waiting\nDo do do do do...\nFor being with you\n\nFirst time I saw you, it just knocked me down\nThe way you smiled has turned my life around\nI never thought that it would catch me so\nI'll get my head together and I want you to know\n\nBekleyemem akşama kadar, canım\nSeni kollarımda tutmak için, canım\nBekleyemem akşama kadar, canım\nSeninle olmak için\nOh...\n\nTrue love won't be afraid of no one\nTrue love can lead us through the day\nOh, I'll get my head together\nAnd I want you to say\n\nI just can't wait until tonight, baby\nTill I have you by my side, baby\nI just can't wait until tonight, my baby\nFor being with you\n\nDo do do do do...\nJust been waiting\nDo do do do do...\nJust been waiting\nDo do do do do...\nJust been waiting\nFor being with you",https://youtube.com/watch?v=0DjihJp4HU4,
2004,ba,Bosnia & Herzegovina,Deen,In The Disco,9,0,12,21,9,91,7,133,,,,,Vesna Pisarović,,"(In the disco)\nDisco\n\nI'm lying, I'm late, I'm losing my weight\nBecause I want to dance all night\nBecause I want to stay all night\nIn the disco, in the disco\n\nYou call me, you wait, take your shoes and go straight\nBecause you want to dance with me\nBecause you want to stay with me\nIn the disco, yeah, in the disco\n\nMusic is what I want, music is what I need\nKiss me and turn me slow, up and down, here we go\nMusic is what I want, music is what I need\nKiss me and turn me slow, up and down, here we go\n(Go)\n\nI'm lying, I'm late, I'm losing my weight\nBecause I want to dance all night\nBecause I want to stay all night\nIn the disco, yeah, in the disco\n\nMusic is what I want, music is what I need\nKiss me and turn me slow, up and down, here we go\nMusic is what I want, music is what I need\nKiss me and turn me slow, up and down, here we go\nMusic\n\n(Yeah, yeah) Oh...\n(In the disco)\nOh music, oh music\nOh music, oh music\n(Go)\n\nMusic is what I want, music is what I need\nKiss me and turn me slow, up and down, here we go\nMusic is what I want, music is what I need\nKiss me and turn me slow, up and down, here we go\n\nMusic",https://youtube.com/watch?v=23h__RssJQo,
2004,es,Spain,Ramón,Para Llenarme De Ti,10,,1,,10,87,,,,,,,Kike Santander,,"Se quedó llorando\nLlorando su pena\nY bien sabe que es por ti\nHoy su condena\n\nYo la quise tanto\nEra la sangre en mis venas\nSin saber que eran de otro\nSus lunas llenas\n\nY entre tu amor y su dolor\nHay un lamento\nMe quema a fuego lento\nMe quema a fuego lento\n\nPero mi pecho dijo adiós\nY ahora de nuevo brilla el sol\nPorque tú le has dado fuego a mi corazón\n\nHoy me quedé vacío para llenarme de ti\nY mi refugio será tu cuerpo\nY mi tierra tu vientre de trigo en flor\nHoy me quedé vacío para llenarme de ti\nY mi caricia será tu aliento\nY mi bandera la luz de tu dulce amor\n\nY yo te voy a amar\nHasta el final\nYo te voy a dar\nAy, que todito mi amor\nYo te voy a amar\nCon toda mi piel y mi vida\nTodo por este amor\nPor tu amor\n\nY yo te voy a amar\nTe voy a amar sin medida\nYo te voy a dar\nYo me juego hasta la vida por este amor\nPor este amor\n\nHoy es tan lejana\nComo huella en la arena\nSu recuerdo sabe a sal y a hierbabuena\n\nTú me das la calma\nEn las noches de entrega\nY nadie más podrá borrar\nTu piel de seda\n\nY entre tu amor y su dolor\nHay un lamento\nMe quema a fuego lento\nMe quema a fuego lento\n\nPero mi pecho dijo adiós\nY ahora de nuevo brilla el sol\nPorque tú le has dado fuego a mi corazón\n\nHoy me quedé vacío para llenarme de ti\nAy, mi refugio será tu cuerpo\nY mi tierra tu vientre de trigo en flor\nHoy me quedé vacío para llenarme de ti\nY mi caricia será tu aliento\nY mi bandera la luz de tu dulce amor\nY yo te voy a amar\nTe voy a amar sin medida\nYo te voy a dar\nPara toda la vida\nYo te voy a amar\nCon todo lo que soy\nTodo por este amor\n\nY yo te voy a amar\nTe voy a amar\nYo te voy a dar\nPara toda la vida\nPorque tú le has dado\nFuego a mi corazón",https://youtube.com/watch?v=V2nGwnq9XAE,
2004,ru,Russia,Julia Savicheva,Believe Me,11,,14,,11,67,,,,,,,Maxim Fadeev,Brenda Loring,"Believe me, I just don't care\nIf you look away or stare,\nIf you choose to go or stay\nDon't believe me, I pray\n\nIn my head – every day, everywhere – oh, no\nYou and I can talk, and I sound colder\nIn my heart, though I say I don't care\nI just cry and cry on your big shoulder\n\nBelieve me, I just don't care\nIf you look away or stare\nIf you choose to go or stay\nDon't believe me, I pray\n\nBelieve me, I just don't care\nIf you look away or stare\nIf you choose to go or stay\nDon't believe me, I pray\n\nFar away, like the man in the moon, my dear\nYou just wave to me, you're always lying\nEvery face, every voice, every tune\nBrings you back to me, and I start crying\n\nBelieve me, I just don't care\nIf you look away or stare\nIf you choose to go or stay\nDon't believe me, I pray\n\nBelieve me, I just don't care\nIf you look away or stare\nIf you choose to go or stay\nDon't believe me, I pray\n\nBelieve me, I just don't care",https://youtube.com/watch?v=Cs76CYGjfIs,
